Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
173,Nedim Bajrami,ALB,MFFW,Empoli,Serie A,23,35,2054,0.26,0.06,3,3,100.0,6,0,5,885,627,70.85,636,67,180,10782,66,10,15.15,28,35,7,80.0,34,65,52.31,3,0,19,18,2,23,8.18
174,Cédric Bakambu,COD,FW,Marseille,Ligue 1,31,12,356,1.0,0.21,0,0,0.0,4,0,0,69,52,75.36,54,7,8,862,4,0,0.0,2,2,0,100.0,2,2,100.0,1,0,7,2,8,15,34.78
175,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,Ligue 1,19,4,307,0.0,0.0,0,0,0.0,0,0,0,131,93,70.99,81,18,32,1699,0,0,0.0,10,16,6,62.5,3,3,100.0,0,0,7,5,3,3,50.0
176,Tiemoué Bakayoko,FRA,MF,Milan,Serie A,27,14,501,0.0,0.0,0,0,0.0,0,0,0,312,276,88.46,235,42,35,4940,1,0,0.0,13,19,6,68.42,5,10,50.0,3,0,14,11,17,7,70.86
177,Mitchel Bakker,NED,DF,Leverkusen,Bundesliga,21,25,1822,0.0,0.0,0,0,0.0,0,0,4,1222,1010,82.65,824,228,168,16673,38,11,28.95,25,42,17,59.52,27,49,55.1,6,0,16,23,19,16,54.34
178,Ridle Baku,GER,DFFW,Wolfsburg,Bundesliga,24,34,2446,0.11,0.08,0,0,0.0,3,0,5,1327,1020,76.87,778,277,272,19385,68,13,19.12,34,63,29,53.97,34,68,50.0,4,0,34,38,30,38,44.0
179,Dilane Bakwa,FRA,FWDF,Bordeaux,Ligue 1,19,5,43,0.0,0.0,0,0,0.0,0,0,0,14,9,64.29,7,2,5,150,0,0,0.0,0,1,1,0.0,1,2,50.0,0,0,2,1,3,1,75.0
180,Tommaso Baldanzi,ITA,FW,Empoli,Serie A,19,1,18,0.0,0.0,0,0,0.0,0,0,0,7,5,71.43,7,0,0,63,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0.0
181,Alejandro Balde,ESP,DFFW,Barcelona,La Liga,18,5,188,0.0,0.0,0,0,0.0,0,0,0,152,140,92.11,137,8,7,2156,3,1,33.33,2,4,2,50.0,2,6,33.33,0,0,5,4,1,2,33.57
182,Ibrahima Baldé,FRA,FWMF,Lens,Ligue 1,19,4,58,0.0,0.0,0,0,0.0,0,0,0,11,8,72.73,7,2,2,108,0,0,0.0,0,0,0,0.0,0,2,0.0,0,0,0,0,2,1,66.6
183,Keita Baldé,SEN,FWMF,Cagliari,Serie A,27,26,1229,0.22,0.12,0,0,0.0,3,0,1,269,199,73.98,171,55,43,2813,8,0,0.0,3,9,6,33.33,5,11,45.45,2,0,30,33,26,65,28.61
184,Gareth Bale,WAL,FW,Real Madrid,La Liga,32,5,280,0.32,0.07,0,0,0.0,1,0,0,64,48,75.0,40,11,13,784,2,0,0.0,1,1,0,100.0,1,4,25.0,2,0,3,1,7,5,58.4
185,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,34,26,2027,0.0,0.0,0,0,0.0,0,0,0,1004,765,76.2,511,225,270,12992,36,4,11.11,36,50,14,72.0,9,15,60.0,2,0,26,18,36,29,55.36
186,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,23,17,950,0.0,0.0,0,0,0.0,0,0,0,809,747,92.34,672,50,87,15426,0,0,0.0,8,12,4,66.67,8,10,80.0,4,1,9,7,22,13,62.84
187,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,30,35,3147,0.03,0.07,0,0,0.0,1,0,2,1796,1372,76.39,882,434,480,26190,84,29,34.52,15,32,17,46.88,26,58,44.83,10,1,50,63,37,38,49.3
188,Fodé Ballo-Touré,SEN,DF,Milan,Serie A,25,10,446,0.0,0.0,0,0,0.0,0,0,0,273,231,84.62,191,48,34,3909,16,4,25.0,12,19,7,63.16,6,10,60.0,2,0,13,10,7,10,41.18
