Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
2510,Antonio Sivera,ESP,GK,Alavés,La Liga,25,4,277,0.0,0.0,0,0,0.0,0,0,0,106,63,59.43,33,1,72,2612,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0.0
2511,Ellyes Skhiri,TUN,MF,Köln,Bundesliga,27,22,1820,0.2,0.17,0,0,0.0,4,0,1,935,794,84.92,665,103,168,15756,7,1,14.29,37,57,20,64.91,11,20,55.0,3,0,21,23,47,29,61.8
2512,Oliver Skipp,ENG,MF,Tottenham,Premier League,21,18,1350,0.0,0.0,0,0,0.0,0,0,0,822,736,89.54,688,61,72,13204,5,1,20.0,18,33,15,54.55,2,3,66.67,6,0,20,23,12,14,46.24
2513,Leo Skiri Østigård,NOR,DF,Genoa,Serie A,22,15,1172,0.0,0.0,0,0,0.0,0,0,0,543,400,73.66,283,56,204,8664,5,0,0.0,11,16,5,68.75,2,2,100.0,4,2,14,6,69,21,76.62
2514,?ukasz Skorupski,POL,GK,Bologna,Serie A,31,36,3240,0.0,0.0,0,0,0.0,0,0,0,1260,943,74.84,648,50,562,26960,0,0,0.0,0,0,0,0.0,0,0,0.0,4,0,2,6,0,1,0.0
2515,Andreas Skov Olsen,DEN,DFFW,Bologna,Serie A,22,18,747,0.0,0.0,0,0,0.0,0,0,2,393,301,76.59,237,84,72,4788,30,7,23.33,7,12,5,58.33,7,23,30.43,0,0,4,16,3,9,25.0
2516,Robert Skov,DEN,DFFW,Hoffenheim,Bundesliga,26,12,368,0.0,0.0,0,0,0.0,0,0,1,175,131,74.86,108,21,46,2717,14,1,7.14,2,2,0,100.0,0,5,0.0,1,0,5,4,6,5,54.48
2517,Milan kriniar,SVK,DF,Inter,Serie A,27,35,3150,0.09,0.12,0,0,0.0,3,0,0,2132,1988,93.25,1792,165,172,39473,2,2,100.0,25,41,16,60.98,11,13,84.62,3,0,46,25,67,47,58.77
2518,Islam Slimani,ALG,FW,Lyon,Ligue 1,33,12,573,0.16,0.08,0,0,0.0,1,0,1,193,151,78.24,140,36,17,2018,2,0,0.0,2,2,0,100.0,1,1,100.0,3,0,6,5,19,11,63.33
2519,William Smallbone,IRL,MFFW,Southampton,Premier League,22,4,133,0.0,0.0,0,0,0.0,0,0,0,38,22,57.89,19,11,8,319,1,0,0.0,5,6,1,83.33,0,1,0.0,0,0,3,1,2,5,28.54
2520,Chris Smalling,ENG,DF,Roma,Serie A,32,27,2091,0.13,0.27,0,0,0.0,3,1,0,1037,928,89.49,812,88,139,21202,1,0,0.0,22,37,15,59.46,2,3,66.67,0,0,9,17,60,18,76.85
2521,Emile Smith Rowe,ENG,MFFW,Arsenal,Premier League,21,33,1921,0.47,0.25,0,0,0.0,10,0,2,812,690,84.98,654,74,84,10718,21,0,0.0,16,20,4,80.0,32,50,64.0,1,0,7,30,8,20,28.79
2522,Cédric Soares,POR,DF,Arsenal,Premier League,30,21,1486,0.06,0.08,0,0,0.0,1,0,1,1110,874,78.74,670,183,257,14979,62,14,22.58,20,39,19,51.28,7,11,63.64,3,0,18,9,22,24,47.84
2523,Danilo Soares,BRA,DF,Bochum,Bundesliga,30,30,2564,0.0,0.0,0,0,0.0,0,0,1,1659,1240,74.74,878,359,422,24459,53,7,13.21,68,119,51,57.14,39,64,60.94,4,0,45,42,56,39,58.86
2524,Rubén Sobrino,ESP,FWMF,Cádiz,La Liga,29,33,1861,0.19,0.12,0,0,0.0,4,0,1,503,373,74.16,350,82,73,5736,15,3,20.0,18,29,11,62.07,22,47,46.81,4,0,57,39,40,63,38.83
2525,Rubén Sobrino,ESP,MF,Valencia,La Liga,29,1,14,0.0,0.0,0,0,0.0,0,0,0,1,1,100.0,1,0,0,19,0,0,0.0,0,1,1,0.0,1,1,100.0,0,0,2,0,1,0,100.0
2526,Alex Sola,ESP,DFFW,Real Sociedad,La Liga,22,2,41,0.0,0.0,0,0,0.0,0,0,0,21,15,71.43,13,4,4,258,0,0,0.0,1,1,0,100.0,3,5,60.0,0,0,0,2,0,1,0.0
2527,Augusto Solari,ARG,MFDF,Celta Vigo,La Liga,30,26,714,0.0,0.0,0,0,0.0,0,0,0,430,296,68.84,268,62,100,4833,34,6,17.65,19,27,8,70.37,10,18,55.56,5,0,23,12,6,12,33.33
2528,Roberto Soldado,ESP,FW,Levante,La Liga,37,18,664,0.41,0.18,0,0,0.0,3,0,2,147,100,68.03,86,42,19,1468,4,1,25.0,2,5,3,40.0,2,5,40.0,7,2,10,5,9,21,30.05
2529,Carlos Soler,ESP,MF,Valencia,La Liga,25,32,2474,0.4,0.12,7,7,100.0,11,0,5,984,679,69.0,539,121,324,13739,49,6,12.24,19,29,10,65.52,17,37,45.95,4,0,31,51,20,30,40.11
2530,Yann Sommer,SUI,GK,M'Gladbach,Bundesliga,33,33,2970,0.0,0.0,0,0,0.0,0,1,1,1459,1102,75.53,874,67,518,31030,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,8,0,0,0.0
2531,Son,ESP,DF,Levante,La Liga,28,26,1971,0.05,0.07,0,0,0.0,1,0,0,1060,793,74.81,552,265,243,15172,40,6,15.0,15,27,12,55.56,18,40,45.0,5,1,18,14,12,20,37.67
2532,Brandon Soppy,FRA,DFMF,Udinese,Serie A,20,28,777,0.0,0.0,0,0,0.0,0,0,0,233,166,71.24,156,41,36,2520,8,1,12.5,15,24,9,62.5,17,35,48.57,4,0,22,35,11,18,37.98
2533,David Soria,ESP,GK,Getafe,La Liga,29,38,3414,0.0,0.0,0,0,0.0,0,0,0,1179,633,53.69,227,43,910,29206,0,0,0.0,0,0,0,0.0,0,0,0.0,4,0,1,5,0,0,0.0
2534,Roberto Soriano,ITA,MFFW,Bologna,Serie A,31,35,2622,0.0,0.0,0,0,0.0,0,0,4,1257,1030,81.94,940,166,152,15865,37,11,29.73,35,63,28,55.56,24,37,64.86,6,2,53,55,27,54,33.33
2535,Alberto Soro,ESP,MFFW,Granada,La Liga,23,16,578,0.0,0.0,0,0,0.0,0,0,0,182,128,70.33,117,35,30,2028,7,0,0.0,12,15,3,80.0,4,7,57.14,0,0,7,8,12,25,32.47
2536,Borna Sosa,CRO,DF,Stuttgart,Bundesliga,24,28,2498,0.04,0.04,0,0,0.0,1,0,8,1785,1312,73.5,959,375,453,24008,136,29,21.32,15,33,18,45.45,34,51,66.67,4,0,15,29,24,26,47.78
2537,Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,18,1,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
2538,Florian Sotoca,FRA,FWMF,Lens,Ligue 1,31,35,2480,0.22,0.06,2,2,100.0,6,0,4,1195,908,75.98,778,186,229,17040,42,10,23.81,20,37,17,54.05,24,43,55.81,7,0,41,34,94,49,65.7
2539,Riccardo Sottil,ITA,FW,Fiorentina,Serie A,22,24,1239,0.22,0.14,0,0,0.0,3,0,2,386,301,77.98,288,46,52,5774,42,6,14.29,4,10,6,40.0,18,37,48.65,4,1,15,42,10,12,45.28
2540,Tomá Sou?ek,CZE,MF,West Ham,Premier League,27,35,3062,0.15,0.11,0,0,0.0,5,0,1,1333,1034,77.57,864,165,303,19295,13,3,23.08,41,68,27,60.29,8,20,40.0,3,0,49,20,140,143,49.46
2541,Matìas Soulé,ARG,FW,Juventus,Serie A,19,2,5,0.0,0.0,0,0,0.0,0,0,0,7,7,100.0,6,0,1,139,0,0,0.0,0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,0.0
2542,Sambou Soumano,SEN,FW,Lorient,Ligue 1,21,21,447,0.6,0.17,0,0,0.0,3,0,0,93,62,66.67,49,27,17,977,3,1,33.33,1,3,2,33.33,11,15,73.33,1,0,14,11,17,22,43.59
2543,Adama Soumaoro,FRA,DF,Bologna,Serie A,29,28,2266,0.0,0.0,0,0,0.0,0,1,0,1056,948,89.77,839,87,128,17653,3,1,33.33,12,17,5,70.59,6,8,75.0,6,2,25,13,61,16,79.34
2544,Boubakary Soumaré,FRA,MF,Leicester City,Premier League,23,19,1102,0.0,0.0,0,0,0.0,0,0,1,551,449,81.49,411,60,80,7821,5,1,20.0,13,24,11,54.17,9,18,50.0,0,0,20,21,29,14,67.42
2545,Arnaud Souquet,FRA,DF,Montpellier,Ligue 1,30,34,2334,0.04,0.06,0,0,0.0,1,0,3,1204,878,72.92,635,350,219,13807,53,4,7.55,31,57,26,54.39,24,33,72.73,4,0,27,23,39,35,52.8
2546,Djibril Sow,SUI,MF,Eint Frankfurt,Bundesliga,25,31,2415,0.07,0.13,0,0,0.0,2,0,3,1225,1043,85.14,925,134,167,20116,6,3,50.0,34,69,35,49.28,14,20,70.0,5,0,46,41,30,39,43.41
2547,Saidou Sow,GUI,DF,Saint-Étienne,Ligue 1,19,13,989,0.18,0.67,0,0,0.0,2,0,1,574,480,83.62,414,62,98,9937,3,1,33.33,15,27,12,55.56,2,3,66.67,2,0,14,5,34,19,64.11
2548,Çaðlar Söyüncü,TUR,DF,Leicester City,Premier League,26,28,2497,0.04,0.13,0,0,0.0,1,0,0,1823,1571,86.18,1393,126,302,32035,5,2,40.0,30,52,22,57.69,6,9,66.67,5,0,32,15,99,53,65.15
2549,Leonardo Spinazzola,ITA,DF,Roma,Serie A,29,3,127,0.0,0.0,0,0,0.0,0,0,0,73,63,86.3,42,18,13,1263,4,2,50.0,0,0,0,0.0,3,7,42.86,1,0,1,0,0,1,0.0
2550,Marco Sportiello,ITA,GK,Atalanta,Serie A,30,5,450,0.0,0.0,0,0,0.0,0,0,0,132,101,76.52,81,10,41,2738,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,1,0,0,0.0
2551,Tony Springett,ENG,FWMF,Norwich City,Premier League,19,3,141,0.0,0.0,0,0,0.0,0,0,0,38,26,68.42,30,1,7,421,2,0,0.0,1,3,2,33.33,2,3,66.67,1,0,1,4,1,5,16.76
2552,Jerry St. Juste,NED,DF,Mainz 05,Bundesliga,25,8,604,0.15,0.08,0,0,0.0,1,0,0,289,224,77.51,192,32,65,4775,3,1,33.33,12,16,4,75.0,1,4,25.0,0,0,14,9,31,15,67.39
2553,Anton Stach,GER,MF,Mainz 05,Bundesliga,23,29,1861,0.05,0.02,0,0,0.0,1,0,6,965,706,73.16,571,135,259,12788,24,4,16.67,28,42,14,66.67,21,38,55.26,6,0,37,49,65,23,73.88
2554,Kostas Stafylidis,GRE,DFMF,Bochum,Bundesliga,28,24,1388,0.0,0.0,0,0,0.0,0,0,1,695,507,72.95,325,121,249,11230,32,7,21.88,28,50,22,56.0,8,12,66.67,3,1,13,19,29,26,52.66
2555,Luca Stanga,ITA,DF,Milan,Serie A,20,1,3,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
2556,Josip Stanii?,CRO,DF,Bayern Munich,Bundesliga,22,13,644,0.14,0.25,0,0,0.0,1,0,0,596,518,86.91,454,86,56,9390,9,1,11.11,11,20,9,55.0,7,15,46.67,1,0,6,1,6,10,37.39
2557,Niklas Stark,GER,DFMF,Hertha BSC,Bundesliga,27,26,2031,0.04,0.08,0,0,0.0,1,0,0,1006,843,83.8,696,106,204,18442,1,0,0.0,26,42,16,61.9,6,7,85.71,3,0,23,22,84,41,67.27
2558,Jason Steele,ENG,GK,Brighton,Premier League,31,1,90,0.0,0.0,0,0,0.0,0,0,0,38,34,89.47,31,1,6,824,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
2559,Jed Steer,ENG,GK,Aston Villa,Premier League,29,1,90,0.0,0.0,0,0,0.0,0,0,0,36,27,75.0,24,0,12,759,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
2560,Renato Steffen,SUI,FWMF,Wolfsburg,Bundesliga,30,20,967,0.0,0.0,0,0,0.0,0,0,1,430,331,76.98,253,85,92,5931,27,4,14.81,5,19,14,26.32,7,12,58.33,6,0,18,18,17,26,39.55
2561,Zack Steffen,USA,GK,Manchester City,Premier League,27,1,90,0.0,0.0,0,0,0.0,0,0,0,38,33,86.84,29,1,8,638,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
2562,Calvin Stengs,NED,MF,Nice,Ligue 1,23,24,1073,0.08,0.05,0,0,0.0,1,0,1,422,307,72.75,284,62,75,5428,22,5,22.73,7,18,11,38.89,20,38,52.63,1,0,18,7,1,11,8.0
2563,Pascal Stenzel,GER,DF,Stuttgart,Bundesliga,26,16,899,0.0,0.0,0,0,0.0,0,0,0,681,552,81.06,362,121,198,13047,10,3,30.0,17,24,7,70.83,4,9,44.44,1,0,12,4,14,14,50.0
2564,Dale Stephens,ENG,MF,Burnley,Premier League,32,3,124,0.0,0.0,0,0,0.0,0,0,0,57,44,77.19,35,9,13,835,0,0,0.0,2,7,5,28.57,0,0,0.0,1,0,4,1,1,2,33.18
2565,Jack Stephens,ENG,DF,Southampton,Premier League,28,11,811,0.0,0.0,0,0,0.0,0,0,0,445,348,78.2,308,32,105,7199,0,0,0.0,12,21,9,57.14,1,2,50.0,3,0,11,3,19,16,54.24
2566,Raheem Sterling,ENG,FW,Manchester City,Premier League,27,30,2128,0.55,0.2,2,3,66.67,13,0,5,876,722,82.42,736,67,72,10188,52,8,15.38,18,28,10,64.29,49,109,44.95,1,0,27,46,5,28,15.0
2567,Finley Stevens,WAL,DF,Brentford,Premier League,19,1,15,0.0,0.0,0,0,0.0,0,0,0,8,5,62.5,3,3,2,94,0,0,0.0,0,2,2,0.0,0,0,0.0,0,0,0,0,1,0,100.0
2568,Angelo Stiller,GER,MF,Hoffenheim,Bundesliga,21,26,1693,0.11,0.13,0,0,0.0,2,0,1,963,795,82.55,690,113,160,13944,7,2,28.57,23,36,13,63.89,12,22,54.55,1,0,32,17,32,32,50.0
2569,Lars Stindl,GER,MFFW,M'Gladbach,Bundesliga,33,26,1629,0.22,0.1,0,2,0.0,4,0,5,816,672,82.35,624,113,79,11075,11,3,27.27,14,23,9,60.87,5,10,50.0,10,0,32,20,19,36,34.54
2570,Riccardo Stivanello,ITA,DF,Bologna,Serie A,18,1,45,0.0,0.0,0,0,0.0,0,0,0,10,9,90.0,7,1,2,185,0,0,0.0,2,2,0,100.0,0,0,0.0,0,0,0,2,0,1,0.0
2571,Kevin Stöger,AUT,MFFW,Mainz 05,Bundesliga,28,23,419,0.21,0.06,0,0,0.0,1,0,1,329,239,72.64,194,45,90,4184,16,5,31.25,7,13,6,53.85,5,7,71.43,3,0,10,12,4,7,36.32
2572,Petar Stojanovi?,SVN,DF,Empoli,Serie A,26,33,2735,0.03,0.08,0,0,0.0,1,0,1,1708,1341,78.51,1006,401,298,24384,56,17,30.36,71,103,32,68.93,47,85,55.29,11,1,51,27,16,24,40.15
2573,John Stones,ENG,DF,Manchester City,Premier League,28,14,1119,0.08,0.11,0,0,0.0,1,0,0,976,905,92.73,806,57,113,18686,1,0,0.0,4,5,1,80.0,6,7,85.71,0,0,3,9,54,11,83.02
2574,Thomas Strakosha,ALB,GK,Lazio,Serie A,27,23,2070,0.0,0.0,0,0,0.0,0,0,0,731,603,82.49,460,35,235,15373,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0.0
2575,Stefan Strandberg,NOR,DF,Salernitana,Serie A,31,11,933,0.0,0.0,0,0,0.0,0,1,0,511,432,84.54,332,61,118,10289,6,1,16.67,8,13,5,61.54,2,2,100.0,2,1,8,2,36,11,76.55
2576,Dávid Strelec,SVK,FWMF,Spezia,Serie A,21,10,502,0.18,0.2,0,0,0.0,1,0,0,138,104,75.36,92,23,23,1628,5,1,20.0,4,6,2,66.67,2,9,22.22,0,0,4,6,10,15,40.04
2577,Tobias Strobl,GER,MFDF,Augsburg,Bundesliga,32,5,323,0.0,0.0,0,0,0.0,0,0,0,94,68,72.34,53,17,24,1350,1,0,0.0,2,5,3,40.0,0,0,0.0,1,0,7,2,9,5,64.27
2578,Kevin Strootman,NED,MF,Cagliari,Serie A,32,10,640,0.0,0.0,0,0,0.0,0,0,0,358,293,81.84,258,43,57,5777,1,1,100.0,8,11,3,72.73,2,4,50.0,4,0,14,11,4,8,33.14
2579,Pascal Struijk,NED,DF,Leeds United,Premier League,22,29,2055,0.04,0.09,0,0,0.0,1,0,0,1213,1058,87.22,926,128,160,22171,0,0,0.0,35,68,33,51.47,4,6,66.67,6,1,29,10,47,36,56.59
2580,Jens Stryger Larsen,DEN,DF,Udinese,Serie A,31,11,684,0.0,0.0,0,0,0.0,0,1,1,291,219,75.26,150,69,72,3620,12,2,16.67,4,5,1,80.0,2,7,28.57,0,0,4,4,6,7,46.2
2581,Leo tulac,SVN,MF,Empoli,Serie A,27,23,833,0.22,0.22,0,0,0.0,2,0,2,489,384,78.53,333,43,113,7817,10,1,10.0,12,18,6,66.67,3,3,100.0,1,0,7,18,9,8,53.01
2582,Stefano Sturaro,ITA,MF,Genoa,Serie A,29,25,1766,0.0,0.0,0,0,0.0,0,0,0,594,378,63.64,343,95,156,6372,24,5,20.83,37,53,16,69.81,2,12,16.67,12,0,57,43,54,59,47.83
2583,Damián Suárez,URU,DF,Getafe,La Liga,34,35,2711,0.0,0.0,0,0,0.0,0,0,3,1466,1011,68.96,638,300,527,20314,80,24,30.0,50,77,27,64.94,12,41,29.27,13,0,57,34,29,35,45.28
2584,Denis Suárez,ESP,MF,Celta Vigo,La Liga,28,38,2819,0.13,0.19,0,0,0.0,4,0,5,2041,1631,79.91,1521,195,326,28577,46,7,15.22,38,65,27,58.46,35,66,53.03,4,0,55,45,18,27,40.28
2585,Luis Suárez,URU,FW,Atlético Madrid,La Liga,35,35,1835,0.54,0.18,2,3,66.67,11,0,2,498,363,72.89,298,120,79,5943,9,3,33.33,4,8,4,50.0,5,23,21.74,7,0,23,27,27,34,44.15
2586,Mario Suárez,ESP,DF,Rayo Vallecano,La Liga,35,14,712,0.0,0.0,0,0,0.0,0,0,0,312,252,80.77,211,26,75,5911,0,0,0.0,4,8,4,50.0,3,4,75.0,2,0,18,6,33,11,75.04
2587,Isaac Success,NGA,FW,Udinese,Serie A,26,22,911,0.2,0.08,0,0,0.0,2,0,6,286,181,63.29,200,44,42,3112,7,1,14.29,3,3,0,100.0,15,30,50.0,1,1,25,38,20,38,34.49
2588,Niklas Süle,GER,DF,Bayern Munich,Bundesliga,26,28,1837,0.05,0.06,0,0,0.0,1,0,2,1734,1573,90.72,1355,157,224,32985,7,1,14.29,22,36,14,61.11,7,10,70.0,2,0,11,2,55,20,73.37
2589,Kamaldeen Sulemana,GHA,MFFW,Rennes,Ligue 1,20,20,1015,0.35,0.15,0,0,0.0,4,0,2,359,287,79.94,266,38,56,5610,30,7,23.33,18,27,9,66.67,50,91,54.95,3,0,19,21,7,5,58.49
2590,Crysencio Summerville,NED,MFFW,Leeds United,Premier League,20,6,130,0.0,0.0,0,0,0.0,0,0,0,69,50,72.46,58,6,5,751,4,0,0.0,4,6,2,66.67,3,6,50.0,0,0,1,2,1,5,16.59
2591,Vladyslav Supriaha,UKR,FW,Sampdoria,Serie A,22,1,22,0.0,0.0,0,0,0.0,0,0,0,4,3,75.0,3,0,1,37,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,1,0,0,0,0.0
2592,Suso,ESP,FW,Sevilla,La Liga,28,8,384,0.0,0.0,0,0,0.0,0,0,1,186,142,76.34,129,27,30,2378,10,2,20.0,2,5,3,40.0,4,9,44.44,0,0,1,8,3,3,50.0
2593,Bosko Sutalo,CRO,DF,Hellas Verona,Serie A,22,24,920,0.0,0.0,0,0,0.0,0,0,0,487,382,78.44,305,80,102,7156,8,3,37.5,9,24,15,37.5,8,16,50.0,0,0,12,10,33,24,57.96
2594,Mattias Svanberg,SWE,MF,Bologna,Serie A,23,36,2564,0.11,0.08,0,0,0.0,3,0,3,1063,787,74.04,673,147,242,13834,34,7,20.59,25,45,20,55.56,25,49,51.02,7,0,40,68,25,33,43.14
2595,Michael Svoboda,AUT,DF,Venezia,Serie A,23,18,1236,0.0,0.0,0,0,0.0,0,0,0,612,516,84.31,422,52,138,11698,1,1,100.0,22,33,11,66.67,2,3,66.67,2,1,10,4,39,37,51.35
2596,Abdoulaye Sylla,GUI,DF,Nantes,Ligue 1,22,2,157,0.0,0.0,0,0,0.0,0,0,0,76,52,68.42,50,9,17,1234,0,0,0.0,3,4,1,75.0,0,0,0.0,1,0,5,0,3,2,59.86
2597,Mamadou Sylla,SEN,FW,Alavés,La Liga,28,13,394,0.0,0.0,0,0,0.0,0,0,0,69,39,56.52,35,16,18,727,7,1,14.29,3,4,1,75.0,5,8,62.5,1,0,9,8,15,10,60.04
2598,Mamadou Sylla,SEN,FWMF,Rayo Vallecano,La Liga,28,12,253,0.0,0.0,0,0,0.0,0,0,0,68,49,72.06,35,19,14,786,2,0,0.0,2,3,1,66.67,2,7,28.57,2,0,8,5,13,11,54.14
2599,Ádám Szalai,HUN,FW,Mainz 05,Bundesliga,34,12,260,0.34,0.11,0,0,0.0,1,0,0,79,50,63.29,32,27,20,602,4,0,0.0,3,4,1,75.0,2,4,50.0,1,0,9,4,10,14,41.67
2600,Wojciech Szcz?sny,POL,GK,Juventus,Serie A,32,33,2970,0.0,0.0,0,0,0.0,0,0,0,1016,828,81.5,637,41,337,23773,0,0,0.0,0,0,0,0.0,1,1,100.0,2,0,2,5,0,0,0.0
2601,Dominik Szoboszlai,HUN,MFFW,RB Leipzig,Bundesliga,21,31,1543,0.35,0.15,0,1,0.0,6,0,8,985,759,77.06,658,147,180,12794,42,12,28.57,15,24,9,62.5,21,44,47.73,2,0,15,25,22,26,45.91
2602,Jakob Sørensen,DEN,MFDF,Norwich City,Premier League,24,10,604,0.0,0.0,0,0,0.0,0,0,0,300,247,82.33,206,38,56,5092,0,0,0.0,16,25,9,64.0,4,4,100.0,0,0,7,1,14,12,53.87
2603,Alexander Sørloth,NOR,FW,Real Sociedad,La Liga,26,33,1763,0.2,0.11,0,0,0.0,4,0,0,465,337,72.47,308,88,68,4904,9,2,22.22,15,25,10,60.0,28,56,50.0,2,0,34,19,71,60,54.19
2604,Tachi,ESP,DF,Alavés,La Liga,24,5,239,0.0,0.0,0,0,0.0,0,0,0,85,55,64.71,32,10,43,1606,3,1,33.33,3,5,2,60.0,0,0,0.0,1,0,4,4,5,2,71.43
2605,Jonathan Tah,GER,DF,Leverkusen,Bundesliga,26,33,2878,0.06,0.13,0,0,0.0,2,0,2,1885,1693,89.81,1536,134,214,36595,3,1,33.33,18,33,15,54.55,15,18,83.33,4,0,20,10,109,41,72.71
2606,Waniss Taibi,FRA,MFDF,Angers,Ligue 1,20,7,132,0.0,0.0,0,0,0.0,0,0,0,71,58,81.69,53,10,8,884,0,0,0.0,5,7,2,71.43,3,5,60.0,2,0,5,1,3,3,50.0
2607,Flavien Tait,FRA,MF,Rennes,Ligue 1,29,28,2125,0.21,0.12,0,0,0.0,5,0,3,1265,1102,87.11,1015,115,134,21108,17,4,23.53,23,33,10,69.7,22,45,48.89,3,0,30,54,8,19,29.57
2608,Adrien Tameze,CMR,MFDF,Hellas Verona,Serie A,28,38,2574,0.14,0.17,0,0,0.0,4,0,2,1298,1038,79.97,869,199,231,18636,27,4,14.81,32,49,17,65.31,34,58,58.62,4,0,36,39,59,60,49.52
2609,Japhet Tanganga,ENG,DF,Tottenham,Premier League,23,11,735,0.0,0.0,0,0,0.0,0,0,0,396,327,82.58,259,65,72,5889,10,1,10.0,12,21,9,57.14,3,6,50.0,4,1,20,10,19,10,65.54
2610,Renato Tapia,PER,MF,Celta Vigo,La Liga,26,29,1412,0.0,0.0,0,0,0.0,0,0,0,864,692,80.09,567,109,187,14760,2,0,0.0,42,56,14,75.0,4,8,50.0,10,0,35,35,38,25,60.35
2611,Edmond Tapsoba,BFA,DF,Leverkusen,Bundesliga,23,22,1814,0.05,0.14,0,0,0.0,1,0,0,1424,1260,88.48,1178,95,153,28183,2,0,0.0,21,34,13,61.76,8,9,88.89,1,0,22,7,46,28,62.13
2612,Florian Tardieu,FRA,MF,Troyes,Ligue 1,30,30,2632,0.14,0.0,4,4,100.0,4,0,2,2041,1685,82.56,1387,196,458,34655,29,3,10.34,38,58,20,65.52,15,24,62.5,6,0,23,45,36,23,60.89
2613,Matt Targett,ENG,DF,Aston Villa,Premier League,26,17,1431,0.06,0.14,0,0,0.0,1,1,1,805,599,74.41,421,164,221,11682,41,8,19.51,15,31,16,48.39,1,5,20.0,2,0,19,13,31,20,60.75
2614,Matt Targett,ENG,DF,Newcastle Utd,Premier League,26,16,1440,0.0,0.0,0,0,0.0,0,0,0,778,568,73.01,366,166,245,10322,30,4,13.33,23,40,17,57.5,9,16,56.25,1,0,11,13,24,21,53.38
2615,Oussama Targhalline,MAR,FW,Marseille,Ligue 1,20,2,5,0.0,0.0,0,0,0.0,0,0,0,7,7,100.0,6,1,0,89,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,2,0,0,0,0.0
2616,James Tarkowski,ENG,DF,Burnley,Premier League,29,35,3106,0.03,0.04,0,0,0.0,1,1,2,1121,800,71.36,504,147,469,20231,2,0,0.0,42,71,29,59.15,7,9,77.78,11,0,34,22,171,78,68.7
2617,Ciprian T?t?ru?anu,ROU,GK,Milan,Serie A,36,6,540,0.0,0.0,0,0,0.0,0,0,0,206,162,78.64,113,13,80,4995,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
2618,Niklas Tauer,GER,DFMF,Mainz 05,Bundesliga,21,11,487,0.0,0.0,0,0,0.0,0,0,0,198,149,75.25,120,32,46,2759,3,0,0.0,12,20,8,60.0,0,0,0.0,1,1,8,4,11,11,50.0
2619,Nuno Tavares,POR,DF,Arsenal,Premier League,22,22,1176,0.08,0.04,0,0,0.0,1,0,1,714,584,81.79,472,145,97,9809,32,6,18.75,12,20,8,60.0,20,37,54.05,2,0,27,14,26,27,49.01
2620,Charlie Taylor,ENG,DF,Burnley,Premier League,28,31,2731,0.0,0.0,0,0,0.0,0,0,3,1364,976,71.55,567,339,458,18453,67,19,28.36,24,54,30,44.44,28,58,48.28,3,0,20,48,66,34,66.06
2621,Loum Tchaouna,FRA,FWMF,Rennes,Ligue 1,18,10,87,0.0,0.0,0,0,0.0,0,0,0,40,26,65.0,22,10,8,447,3,1,33.33,0,3,3,0.0,1,4,25.0,0,0,1,2,2,0,100.0
2622,Warren Tchimbembé,CGO,MF,Metz,Ligue 1,24,9,205,0.0,0.0,0,0,0.0,0,0,0,96,84,87.5,73,7,16,1667,1,1,100.0,1,2,1,50.0,1,3,33.33,0,0,2,3,2,1,66.92
2623,Aurélien Tchouaméni,FRA,MF,Monaco,Ligue 1,22,35,2929,0.09,0.05,0,0,0.0,3,0,2,2077,1797,86.52,1641,174,263,35727,24,6,25.0,67,97,30,69.07,33,44,75.0,11,1,54,68,86,35,71.05
2624,Mathys Tel,FRA,FWMF,Rennes,Ligue 1,17,7,56,0.0,0.0,0,0,0.0,0,0,0,28,17,60.71,17,1,10,335,3,0,0.0,2,3,1,66.67,1,3,33.33,0,0,5,0,1,0,100.0
